Discord,Team,Individual,Individual?,% Calculator,Rank
,BSC Bobcats VA,33.75%,FALSE,#N/A,#N/A
,Cornell Varsity A,33.73%,FALSE,#N/A,#N/A
,UTK Esports Orange,33.60%,FALSE,#N/A,#N/A
,Purdue Gold,33.55%,FALSE,#N/A,#N/A
,CSULA Black,33.51%,FALSE,#N/A,#N/A
,Fanshawe FUEL,33.47%,FALSE,#N/A,#N/A
,CSUF Orange,33.46%,FALSE,#N/A,#N/A
,TAMU Century,33.41%,FALSE,#N/A,#N/A
,SJSU BLUE,33.39%,FALSE,#N/A,#N/A
,Humber College Esports,33.37%,FALSE,#N/A,#N/A
,UO Green,33.32%,FALSE,#N/A,#N/A
,SNHU Blue,33.31%,FALSE,#N/A,#N/A
,UConn Valorant,33.27%,FALSE,#N/A,#N/A
,,33.25%,TRUE,33.25%,Contender
,CSUN Red,33.18%,FALSE,#N/A,#N/A
,GCU Esports,33.09%,FALSE,#N/A,#N/A
,UCLA,33.05%,FALSE,#N/A,#N/A
,TAMU Century,32.90%,FALSE,#N/A,#N/A
,RPI White,32.86%,FALSE,#N/A,#N/A
,UCR Blue,32.84%,FALSE,#N/A,#N/A
,UCLA,32.77%,FALSE,#N/A,#N/A
,CSUF Blue,32.76%,FALSE,#N/A,#N/A
,GMU Patriots,32.66%,FALSE,#N/A,#N/A
,Irvine Valley,32.66%,FALSE,#N/A,#N/A
,Scarlet,32.65%,FALSE,#N/A,#N/A
,Louisiana Tech Blue,32.59%,FALSE,#N/A,#N/A
,NC State Red,32.40%,FALSE,#N/A,#N/A
,GVSU Blue,32.35%,FALSE,#N/A,#N/A
,LSU Val,32.30%,FALSE,#N/A,#N/A
,UCF Knights,32.29%,FALSE,#N/A,#N/A
,FGCU Blue,32.27%,FALSE,#N/A,#N/A
,,32.24%,TRUE,32.24%,Contender
,Rochester University Esports,32.22%,FALSE,#N/A,#N/A
,Rowan University,32.18%,FALSE,#N/A,#N/A
,UCF Knights Academy,32.13%,FALSE,#N/A,#N/A
,University at Buffalo,32.10%,FALSE,#N/A,#N/A
,Niner Esports,32.06%,FALSE,#N/A,#N/A
,Western Esports,32.05%,FALSE,#N/A,#N/A
,University of Kentucky Blue,32.03%,FALSE,#N/A,#N/A
,UA Crimson,32.03%,FALSE,#N/A,#N/A
,St Edwards University,32.03%,FALSE,#N/A,#N/A
,SJSU BLUE,32.01%,FALSE,#N/A,#N/A
,University at Buffalo,31.96%,FALSE,#N/A,#N/A
,UML Riverhawks,31.89%,FALSE,#N/A,#N/A
,University of Virginia Orange,31.86%,FALSE,#N/A,#N/A
,Indiana Hoosiers,31.86%,FALSE,#N/A,#N/A
,McGill Div 1,31.82%,FALSE,#N/A,#N/A
,USC Cardinal,31.78%,FALSE,#N/A,#N/A
,Scarlet Knights Red,31.76%,FALSE,#N/A,#N/A
,Project (Yoon),31.74%,FALSE,#N/A,#N/A
,CSUF Blue,31.73%,FALSE,#N/A,#N/A
,McGill Div 1,31.70%,FALSE,#N/A,#N/A
,BSC Bobcats VA,31.66%,FALSE,#N/A,#N/A
,UNLV Scarlet,31.62%,FALSE,#N/A,#N/A
,UTD Black,31.61%,FALSE,#N/A,#N/A
,Seneca Esports Red,31.57%,FALSE,#N/A,#N/A
,CCNY Varsity,31.48%,FALSE,#N/A,#N/A
,TAMU Maroon,31.40%,FALSE,#N/A,#N/A
,Ohio Northern University,31.36%,FALSE,#N/A,#N/A
,Radiant Rising Gold,31.33%,FALSE,#N/A,#N/A
,Akron Esports,31.19%,FALSE,#N/A,#N/A
,,31.18%,TRUE,31.18%,Contender
,Rowan University,31.05%,FALSE,#N/A,#N/A
,Niner Esports,31.04%,FALSE,#N/A,#N/A
,UT Orange,31.01%,FALSE,#N/A,#N/A
,FL Poly Purple,30.86%,FALSE,#N/A,#N/A
,CSUF Orange,30.84%,FALSE,#N/A,#N/A
,FIU Varsity,30.77%,FALSE,#N/A,#N/A
,NJIT Highlanders Red,30.72%,FALSE,#N/A,#N/A
,Anubis Gaming,30.66%,FALSE,#N/A,#N/A
,Fanshawe FUEL,30.64%,FALSE,#N/A,#N/A
,,30.58%,TRUE,30.58%,Contender
,CSUN Red,30.52%,FALSE,#N/A,#N/A
,SFU Red,30.52%,FALSE,#N/A,#N/A
,CCNY Varsity,30.43%,FALSE,#N/A,#N/A
,SLU Esports,30.40%,FALSE,#N/A,#N/A
,CCNY Varsity,30.39%,FALSE,#N/A,#N/A
,UWF Blue,30.27%,FALSE,#N/A,#N/A
,UC Irvine,30.13%,FALSE,#N/A,#N/A
,UTD Black,30.09%,FALSE,#N/A,#N/A
,UA Crimson,30.09%,FALSE,#N/A,#N/A
,USF Gold,29.92%,FALSE,#N/A,#N/A
,Farmingdale State College,29.91%,FALSE,#N/A,#N/A
,CSUF Blue,29.85%,FALSE,#N/A,#N/A
,Alvernia University Gold,29.84%,FALSE,#N/A,#N/A
,UCR Gold,29.78%,FALSE,#REF!,#REF!
,Ohio Northern University,29.72%,FALSE,#REF!,#REF!
,GCU Esports,29.66%,FALSE,#REF!,#REF!
,Knightmares,29.65%,FALSE,#REF!,#REF!
,CSULB White,29.58%,FALSE,#REF!,#REF!
,University of Virginia Navy,29.58%,FALSE,#REF!,#REF!
,NCSU Black,29.50%,FALSE,#REF!,#REF!
,Boise State,29.50%,FALSE,#REF!,#REF!
,,29.43%,TRUE,29.43%,Contender
,Oklahoma,29.38%,FALSE,#REF!,#REF!
,SFU Red,29.31%,FALSE,#REF!,#REF!
,CU Boulder,29.28%,FALSE,#REF!,#REF!
,Sac State Green,29.28%,FALSE,#REF!,#REF!
,North Central University,29.25%,FALSE,#REF!,#REF!
,Davenport University,29.24%,FALSE,#REF!,#REF!
,,29.23%,TRUE,29.23%,Contender
,Northeastern University Black,29.18%,FALSE,#REF!,#REF!
,Farmingdale State College,29.10%,FALSE,#REF!,#REF!
,UConn Valorant,29.09%,FALSE,#REF!,#REF!
,CPP Black,29.01%,FALSE,#REF!,#REF!
,LVC Dutchman,28.99%,FALSE,#REF!,#REF!
,UGA Black,28.97%,FALSE,#REF!,#REF!
,Northeastern University Black,28.85%,FALSE,#REF!,#REF!
,University of Kentucky Blue,28.84%,FALSE,#REF!,#REF!
,University of Kentucky Blue,28.83%,FALSE,#REF!,#REF!
,UO Green,28.81%,FALSE,#REF!,#REF!
,NJIT Highlanders Red,28.77%,FALSE,#REF!,#REF!
,CSULB Gold,28.76%,FALSE,#REF!,#REF!
,CCNY Varsity,28.76%,FALSE,#REF!,#REF!
,UMD Premier,28.52%,FALSE,#REF!,#REF!
,UTD White,28.52%,FALSE,#REF!,#REF!
,Duke Gaming,28.48%,FALSE,#REF!,#REF!
,UCSC Gold,28.38%,FALSE,#REF!,#REF!
,UTA Esports,28.38%,FALSE,#REF!,#REF!
,NC State Red,28.38%,FALSE,#REF!,#REF!
,Illini Esports Orange,28.36%,FALSE,#REF!,#REF!
,UT Orange,28.15%,FALSE,#REF!,#REF!
,UTD Orange,28.11%,FALSE,#REF!,#REF!
,Wichita State Esports,28.10%,FALSE,#REF!,#REF!
,Alvernia University Gold,28.08%,FALSE,#REF!,#REF!
,CPP White,28.07%,FALSE,#REF!,#REF!
,DePaul Blue Demons,28.07%,FALSE,#REF!,#REF!
,UAESA Green,28.06%,FALSE,#REF!,#REF!
,CPP White,27.92%,FALSE,#REF!,#REF!
,University of Kentucky Blue,27.83%,FALSE,#REF!,#REF!
,UTD Black,27.83%,FALSE,#REF!,#REF!
,FIU White,27.75%,FALSE,#REF!,#REF!
,USF Gold,27.72%,FALSE,#REF!,#REF!
,,27.70%,TRUE,27.70%,Contender
,UWF Blue,27.66%,FALSE,#REF!,#REF!
,UNH Chargers,27.60%,FALSE,#REF!,#REF!
,UGA Black,27.56%,FALSE,#REF!,#REF!
,USC Cardinal,27.55%,FALSE,#REF!,#REF!
,UML Riverhawks,27.45%,FALSE,#REF!,#REF!
,UCLA,27.40%,FALSE,#REF!,#REF!
,CU St. Paul Golden Bears Blue,27.34%,FALSE,#REF!,#REF!
,UConn Valorant,27.30%,FALSE,#REF!,#REF!
,GCU Esports,27.28%,FALSE,#REF!,#REF!
,Wayne State College,27.27%,FALSE,#REF!,#REF!
,UGA Red,27.26%,FALSE,#REF!,#REF!
,UConn Valorant,27.16%,FALSE,#REF!,#REF!
,NJIT Highlanders Red,27.15%,FALSE,#REF!,#REF!
,UMass Minutemen,27.14%,FALSE,#REF!,#REF!
,St Edwards University,27.11%,FALSE,#REF!,#REF!
,Ohio Northern University,26.95%,FALSE,#REF!,#REF!
,ASU Maroon,26.79%,FALSE,#REF!,#REF!
,UCF Knights,26.77%,FALSE,#REF!,#REF!
,GCU Esports,26.56%,FALSE,#REF!,#REF!
,UC Irvine,26.54%,FALSE,#REF!,#REF!
,SFU Black,26.44%,FALSE,#REF!,#REF!
,Carleton University JV Black,26.36%,FALSE,#REF!,#REF!
,James Madison University,26.35%,FALSE,#REF!,#REF!
,FL Poly Purple,26.35%,FALSE,#REF!,#REF!
,Louisiana Tech Blue,26.32%,FALSE,#REF!,#REF!
,Conestoga Condors,26.24%,FALSE,#REF!,#REF!
,Boise State,26.21%,FALSE,#REF!,#REF!
,UNCG 300,26.20%,FALSE,#REF!,#REF!
,Akron Esports,26.16%,FALSE,#REF!,#REF!
,Montclair State Red,26.14%,FALSE,#REF!,#REF!
,USF Gold,26.13%,FALSE,#REF!,#REF!
,WSU Warriors,26.05%,FALSE,#REF!,#REF!
,University of Virginia Orange,26.03%,FALSE,#REF!,#REF!
,Cal Poly SLO,26.00%,FALSE,#REF!,#REF!
,Oklahoma,25.95%,FALSE,#REF!,#REF!
,Fanshawe FUEL,25.88%,FALSE,#REF!,#REF!
,TMU SHORTYKINGS,25.87%,FALSE,#REF!,#REF!
,WSU Crimson,25.84%,FALSE,#REF!,#REF!
,WSU Crimson,25.83%,FALSE,#REF!,#REF!
,NC State Red,25.81%,FALSE,#REF!,#REF!
,Waveridahs UH,25.81%,FALSE,#REF!,#REF!
,,25.57%,TRUE,25.57%,Contender
,Redbird Varsity,25.47%,FALSE,#REF!,#REF!
,UTK Esports Orange,25.43%,FALSE,#REF!,#REF!
,CSULB White,25.41%,FALSE,#REF!,#REF!
,Humber College Esports,25.38%,FALSE,#REF!,#REF!
,UTD Orange,25.37%,FALSE,#REF!,#REF!
,CU St. Paul Golden Bears Blue,25.36%,FALSE,#REF!,#REF!
,Farmingdale State College,25.35%,FALSE,#REF!,#REF!
,Concord University,25.33%,FALSE,#REF!,#REF!
,Cornell Varsity A,25.31%,FALSE,#REF!,#REF!
,SNHU Blue,25.24%,FALSE,#REF!,#REF!
,Rochester University Esports,25.17%,FALSE,#REF!,#REF!
,McMaster Marauders,25.16%,FALSE,#REF!,#REF!
,Wayne State College,25.06%,FALSE,#REF!,#REF!
,Iowa State University,25.05%,FALSE,#REF!,#REF!
,UCM Main,24.92%,FALSE,#REF!,#REF!
,UGA Red,24.89%,FALSE,#REF!,#REF!
,Irvine Valley,24.87%,FALSE,#REF!,#REF!
,Wayne State College,24.83%,FALSE,#REF!,#REF!
,UO Green,24.81%,FALSE,#REF!,#REF!
,UNH Chargers,24.76%,FALSE,#REF!,#REF!
,Northeastern University Black,24.72%,FALSE,#REF!,#REF!
,CU St. Paul Golden Bears Blue,24.71%,FALSE,#REF!,#REF!
,RIT Black,24.70%,FALSE,#REF!,#REF!
,DSU Valorant,24.62%,FALSE,#REF!,#REF!
,Davenport University,24.62%,FALSE,#REF!,#REF!
,CSULA Black,24.56%,FALSE,#REF!,#REF!
,CGC UIC,24.50%,FALSE,#REF!,#REF!
,CSUN Black,24.39%,FALSE,#REF!,#REF!
,,24.38%,TRUE,24.38%,NONE
,SNHU Blue,24.28%,FALSE,#REF!,#REF!
,UTD Black,24.25%,FALSE,#REF!,#REF!
,James Madison University,24.22%,FALSE,#REF!,#REF!
,OKWU Gold,24.20%,FALSE,#REF!,#REF!
,UMBC Black,24.18%,FALSE,#REF!,#REF!
,West Virginia University,24.14%,FALSE,#REF!,#REF!
,TAMU 12th,24.13%,FALSE,#REF!,#REF!
,University At Albany,24.08%,FALSE,#REF!,#REF!
,Scarlet,24.05%,FALSE,#REF!,#REF!
,CPP White,23.89%,FALSE,#REF!,#REF!
,,23.89%,TRUE,23.89%,NONE
,CSUN Black,23.87%,FALSE,#REF!,#REF!
,Rowan University,23.84%,FALSE,#REF!,#REF!
,Wichita State Esports,23.80%,FALSE,#REF!,#REF!
,SLU Esports,23.79%,FALSE,#REF!,#REF!
,Louisiana Tech Blue,23.69%,FALSE,#REF!,#REF!
,Redbird Varsity,23.55%,FALSE,#REF!,#REF!
,UH Alpha,23.45%,FALSE,#REF!,#REF!
,Cornell Varsity A,23.42%,FALSE,#REF!,#REF!
,Redbird Varsity,23.40%,FALSE,#REF!,#REF!
,CSULB White,23.32%,FALSE,#REF!,#REF!
,SHSU Varsity,23.31%,FALSE,#REF!,#REF!
,Radiant Rising Gold,23.30%,FALSE,#REF!,#REF!
,Purdue Gold,23.29%,FALSE,#REF!,#REF!
,UTK Esports Orange,23.28%,FALSE,#REF!,#REF!
,Radiant Rising Gold,23.25%,FALSE,#REF!,#REF!
,NJIT Highlanders Red,23.22%,FALSE,#REF!,#REF!
,UNH Chargers,22.94%,FALSE,#REF!,#REF!
,Oklahoma,22.93%,FALSE,#REF!,#REF!
,Stevens Esports Red,22.93%,FALSE,#REF!,#REF!
,Stevens Esports Red,22.93%,FALSE,#REF!,#REF!
,Fanshawe FUEL,22.90%,FALSE,#REF!,#REF!
,Saint Francis University,22.86%,FALSE,#REF!,#REF!
,Conestoga Condors,22.82%,FALSE,#REF!,#REF!
,Scarlet Knights Red,22.79%,FALSE,#REF!,#REF!
,,22.76%,TRUE,22.76%,NONE
,UCR Gold,22.74%,FALSE,#REF!,#REF!
,SFU Red,22.73%,FALSE,#REF!,#REF!
,Champlain College Varsity,22.47%,FALSE,#REF!,#REF!
,ODU Monarchs,22.45%,FALSE,#REF!,#REF!
,Stony Brook Red,22.39%,FALSE,#REF!,#REF!
,James Madison University,22.07%,FALSE,#REF!,#REF!
,LSU Val,22.03%,FALSE,#REF!,#REF!
,NC State Red,21.94%,FALSE,#REF!,#REF!
,UNL Huskers,21.92%,FALSE,#REF!,#REF!
,FIU Blue,21.80%,FALSE,#REF!,#REF!
,UTA Esports,21.74%,FALSE,#REF!,#REF!
,SHSU Varsity,21.69%,FALSE,#REF!,#REF!
,UNL Huskers,21.69%,FALSE,#REF!,#REF!
,Duke Gaming,21.66%,FALSE,#REF!,#REF!
,UCR Gold,21.61%,FALSE,#REF!,#REF!
,Waveridahs UH,21.59%,FALSE,#REF!,#REF!
,Louisiana Tech Blue,21.53%,FALSE,#REF!,#REF!
,Cal Poly SLO,21.41%,FALSE,#REF!,#REF!
,Western Esports,21.29%,FALSE,#REF!,#REF!
,Culver-Stockton Wildcats,21.10%,FALSE,#REF!,#REF!
,,21.08%,TRUE,21.08%,NONE
,,21.08%,TRUE,21.08%,NONE
,MSU Texas Esports,20.91%,FALSE,#REF!,#REF!
,Culver-Stockton Wildcats,20.86%,FALSE,#REF!,#REF!
,Scarlet,20.59%,FALSE,#REF!,#REF!
,FGCU Blue,20.52%,FALSE,#REF!,#REF!
,Fanshawe FUEL,20.46%,FALSE,#REF!,#REF!
,UGA Red,20.40%,FALSE,#REF!,#REF!
,CSUF Orange,20.38%,FALSE,#REF!,#REF!
,UCO Blue,20.35%,FALSE,#REF!,#REF!
,James Madison University,20.32%,FALSE,#REF!,#REF!
,Seneca Esports Red,20.23%,FALSE,#REF!,#REF!
,WSU Crimson,20.23%,FALSE,#REF!,#REF!
,Seneca Esports Red,20.21%,FALSE,#REF!,#REF!
,UMass Minutemen,20.16%,FALSE,#REF!,#REF!
,University of Virginia Orange,19.59%,FALSE,#REF!,#REF!
,UTA Esports,19.55%,FALSE,#REF!,#REF!
,MSU Green,19.50%,FALSE,#REF!,#REF!
,FL Poly Purple,19.45%,FALSE,#REF!,#REF!
,Radiant Rising Gold,19.41%,FALSE,#REF!,#REF!
,UCR Blue,19.34%,FALSE,#REF!,#REF!
,Culver-Stockton Wildcats,19.31%,FALSE,#REF!,#REF!
,UWF Blue,19.16%,FALSE,#REF!,#REF!
,UNCG 300,19.09%,FALSE,#REF!,#REF!
,MSU Texas Esports,19.05%,FALSE,#REF!,#REF!
,UMass Minutemen,19.05%,FALSE,#REF!,#REF!
,Champlain College Varsity,18.63%,FALSE,#REF!,#REF!
,University At Albany,18.49%,FALSE,#REF!,#REF!
,WSU Crimson,18.35%,FALSE,#REF!,#REF!
,CU Boulder,18.28%,FALSE,#REF!,#REF!
,Wayne State College,18.16%,FALSE,#REF!,#REF!
,Rochester University Esports,18.14%,FALSE,#REF!,#REF!
,UCM Main,18.10%,FALSE,#REF!,#REF!
,UCSC Gold,18.10%,FALSE,#REF!,#REF!
,Knightmares,17.98%,FALSE,#REF!,#REF!
,North Central University,17.92%,FALSE,#REF!,#REF!
,Saint Francis University,17.75%,FALSE,#REF!,#REF!
,Boise State,17.63%,FALSE,#REF!,#REF!
,UMBC Black,17.44%,FALSE,#REF!,#REF!
,University of Virginia Navy,17.31%,FALSE,#REF!,#REF!
,MSU Green,17.18%,FALSE,#REF!,#REF!
,Vespa Premier,17.15%,FALSE,#REF!,#REF!
,Duke Gaming,17.11%,FALSE,#REF!,#REF!
,Cal Poly SLO,17.10%,FALSE,#REF!,#REF!
,,16.99%,TRUE,16.99%,NONE
,UH Alpha,16.94%,FALSE,#REF!,#REF!
,CSUN Scarlet,16.90%,FALSE,#REF!,#REF!
,Farmingdale State College,16.87%,FALSE,#REF!,#REF!
,Cal Poly SLO,16.84%,FALSE,#REF!,#REF!
,ISU Sycamores,16.82%,FALSE,#REF!,#REF!
,SHSU Varsity,16.80%,FALSE,#REF!,#REF!
,FIU Blue,16.78%,FALSE,#REF!,#REF!
,University of Kentucky Blue,16.72%,FALSE,#REF!,#REF!
,OKWU Gold,16.70%,FALSE,#REF!,#REF!
,DSU Valorant,16.57%,FALSE,#REF!,#REF!
,James Madison University,16.52%,FALSE,#REF!,#REF!
,U of U Varsity,16.21%,FALSE,#REF!,#REF!
,UMass Minutemen,15.96%,FALSE,#REF!,#REF!
,Akron Esports,15.89%,FALSE,#REF!,#REF!
,FGCU Blue,15.88%,FALSE,#REF!,#REF!
,Seneca Esports Red,15.87%,FALSE,#REF!,#REF!
,Iowa State University,15.84%,FALSE,#REF!,#REF!
,Seneca Esports Red,15.82%,FALSE,#REF!,#REF!
,CSUN Black,15.70%,FALSE,#REF!,#REF!
,Ottawa Braves,15.70%,FALSE,#REF!,#REF!
,CSULA Black,15.54%,FALSE,#REF!,#REF!
,TAMU Century,15.44%,FALSE,#REF!,#REF!
,UNCG 300,15.44%,FALSE,#REF!,#REF!
,MSU Texas Esports,15.42%,FALSE,#REF!,#REF!
,Tulane University,15.38%,FALSE,#REF!,#REF!
,Sac State Green,15.30%,FALSE,#REF!,#REF!
,UTD White,15.27%,FALSE,#REF!,#REF!
,Vespa Premier,15.19%,FALSE,#REF!,#REF!
,Cornell Varsity A,15.10%,FALSE,#REF!,#REF!
,UNO Black,15.02%,FALSE,#REF!,#REF!
,TTU Red,14.99%,FALSE,#REF!,#REF!
,WSU Warriors,14.75%,FALSE,#REF!,#REF!
,Louisiana Tech Blue,14.71%,FALSE,#REF!,#REF!
,UNO Black,14.60%,FALSE,#REF!,#REF!
,North Central University,14.57%,FALSE,#REF!,#REF!
,ODU Monarchs,14.22%,FALSE,#REF!,#REF!
,CSUN Scarlet,14.04%,FALSE,#REF!,#REF!
,,13.78%,TRUE,13.78%,NONE
,McGill Div 1,13.60%,FALSE,#REF!,#REF!
,WSU Warriors,13.57%,FALSE,#REF!,#REF!
,MSU Texas Esports,13.49%,FALSE,#REF!,#REF!
,Farmingdale State College,13.47%,FALSE,#REF!,#REF!
,UConn Valorant,13.32%,FALSE,#REF!,#REF!
,CU St. Paul Golden Bears Blue,13.29%,FALSE,#REF!,#REF!
,Tulane University,13.27%,FALSE,#REF!,#REF!
,UNL Huskers,13.13%,FALSE,#REF!,#REF!
,Tulsa Golden Hurricanes,13.08%,FALSE,#REF!,#REF!
,,13.03%,TRUE,13.03%,NONE
,Vespa Premier,12.91%,FALSE,#REF!,#REF!
,CSULB White,12.83%,FALSE,#REF!,#REF!
,NCSU Black,12.82%,FALSE,#REF!,#REF!
,FIU White,12.73%,FALSE,#REF!,#REF!
,UNO Black,12.68%,FALSE,#REF!,#REF!
,FIU Blue,12.44%,FALSE,#REF!,#REF!
,NYU Ultraviolets,12.42%,FALSE,#REF!,#REF!
,CPP White,11.83%,FALSE,#REF!,#REF!
,CSUN Scarlet,11.53%,FALSE,#REF!,#REF!
,CSUN Scarlet,11.39%,FALSE,#REF!,#REF!
,RPI White,11.39%,FALSE,#REF!,#REF!
,TTU Red,11.27%,FALSE,#REF!,#REF!
,Iowa State University,11.23%,FALSE,#REF!,#REF!
,FGCU Blue,11.10%,FALSE,#REF!,#REF!
,CSULA Black,11.01%,FALSE,#REF!,#REF!
,Vespa Premier,11.00%,FALSE,#REF!,#REF!
,Tulsa Golden Hurricanes,10.95%,FALSE,#REF!,#REF!
,CSULA Black,10.92%,FALSE,#REF!,#REF!
,,10.73%,TRUE,10.73%,NONE
,William and Mary,10.48%,FALSE,#REF!,#REF!
,Carleton University JV Black,10.44%,FALSE,#REF!,#REF!
,UCF Knights Academy,10.37%,FALSE,#REF!,#REF!
,Full Sail Armada,10.34%,FALSE,#REF!,#REF!
,Knightmares,10.12%,FALSE,#REF!,#REF!
,,10.06%,TRUE,10.06%,NONE
,UTD White,10.01%,FALSE,#REF!,#REF!
,Sac State Green,9.68%,FALSE,#REF!,#REF!
,Redbird Varsity,9.41%,FALSE,#REF!,#REF!
,ISU Sycamores,9.20%,FALSE,#REF!,#REF!
,Stony Brook Red,9.20%,FALSE,#REF!,#REF!
,Champlain College Varsity,9.06%,FALSE,#REF!,#REF!
,UGA Red,9.03%,FALSE,#REF!,#REF!
,William and Mary,8.96%,FALSE,#REF!,#REF!
,WSU Warriors,8.60%,FALSE,#REF!,#REF!
,ISU Sycamores,8.60%,FALSE,#REF!,#REF!
,Full Sail Armada,8.20%,FALSE,#REF!,#REF!
,Tulane University,8.18%,FALSE,#REF!,#REF!
,UNO Black,8.00%,FALSE,#REF!,#REF!
,MSU Green,7.98%,FALSE,#REF!,#REF!
,Saint Francis University,7.39%,FALSE,#REF!,#REF!
,UTK Esports Orange,7.05%,FALSE,#REF!,#REF!
,Tulsa Golden Hurricanes,6.98%,FALSE,#REF!,#REF!
,McGill Div 1,6.81%,FALSE,#REF!,#REF!
,RPI White,5.91%,FALSE,#REF!,#REF!
,DSU Valorant,5.79%,FALSE,#REF!,#REF!
,University of Virginia Navy,5.68%,FALSE,#REF!,#REF!
,BTR,5.58%,FALSE,#REF!,#REF!
,Duke Gaming,5.35%,FALSE,#REF!,#REF!
,UCM Main,4.81%,FALSE,#REF!,#REF!
,OTSU Esports Royal,4.17%,FALSE,#REF!,#REF!
,West Virginia University,3.95%,FALSE,#REF!,#REF!
,U of U Varsity,3.77%,FALSE,#REF!,#REF!
,TAMU Century,3.60%,FALSE,#REF!,#REF!
,UGA Red,2.67%,FALSE,#REF!,#REF!
,FIU Blue,2.42%,FALSE,#REF!,#REF!
,SLU Esports,1.98%,FALSE,#REF!,#REF!
,SLU Esports,1.81%,FALSE,#REF!,#REF!
,U of U Varsity,1.48%,FALSE,#REF!,#REF!
,UO Green,1.42%,FALSE,#REF!,#REF!
,Tulane University,0.39%,FALSE,#REF!,#REF!
,McGill Div 1,0.32%,FALSE,#REF!,#REF!
,Stevens Esports Red,-0.81%,FALSE,#REF!,#REF!
,ISU Sycamores,-1.32%,FALSE,#REF!,#REF!
,RIT Black,-1.98%,FALSE,#REF!,#REF!
,Stony Brook Red,-2.04%,FALSE,#REF!,#REF!
,Cornell Varsity A,-3.05%,FALSE,#REF!,#REF!
,ODU Monarchs,-3.42%,FALSE,#REF!,#REF!
,CSUN Scarlet,-3.62%,FALSE,#REF!,#REF!
,UCO Blue,-4.81%,FALSE,#REF!,#REF!
,Saint Francis University,-13.86%,FALSE,#REF!,#REF!
,Sentinels,100.00%,FALSE,#REF!,#REF!
,NRG Esports,100.00%,FALSE,#REF!,#REF!
,Cloud9 White,100.00%,FALSE,#REF!,#REF!
,,100.00%,TRUE,100.00%,Premier
,Oxygen Academy,100.00%,FALSE,#REF!,#REF!
,,100.00%,TRUE,100.00%,Premier
,Cloud9 White,100.00%,FALSE,#REF!,#REF!
,Oxygen Academy,100.00%,FALSE,#REF!,#REF!
,Cloud9 White,100.00%,FALSE,#REF!,#REF!
,Cloud9 White,100.00%,FALSE,#REF!,#REF!
,Oxygen Academy,99.89%,FALSE,#REF!,#REF!
,Dark Ratio,99.81%,FALSE,#REF!,#REF!
,Sentinels,99.56%,FALSE,#REF!,#REF!
,DNADIFF,99.56%,FALSE,#REF!,#REF!
,Gen.G Black,99.55%,FALSE,#REF!,#REF!
,Cloud9,99.28%,FALSE,#REF!,#REF!
,,98.96%,TRUE,98.96%,Premier
,100 Thieves,98.70%,FALSE,#REF!,#REF!
,,98.68%,TRUE,98.68%,Premier
,M80,98.58%,FALSE,#REF!,#REF!
,The Guard,98.58%,FALSE,#REF!,#REF!
,Cloud9,98.37%,FALSE,#REF!,#REF!
,TSM,98.01%,FALSE,#REF!,#REF!
,,97.85%,TRUE,97.85%,Premier
,Anime Aimers,97.81%,FALSE,#REF!,#REF!
,Soniqs,97.77%,FALSE,#REF!,#REF!
,,97.49%,TRUE,97.49%,Premier
,Dark Ratio,97.42%,FALSE,#REF!,#REF!
,STEALING LUNCH MONEY,97.41%,FALSE,#REF!,#REF!
,Cloud9,97.02%,FALSE,#REF!,#REF!
,TSM,96.96%,FALSE,#REF!,#REF!
,FaZe Clan,96.94%,FALSE,#REF!,#REF!
,DHBK,96.74%,FALSE,#REF!,#REF!
,Dark Ratio,96.67%,FALSE,#REF!,#REF!
,,96.64%,TRUE,96.64%,Premier
,Cloud9,96.59%,FALSE,#REF!,#REF!
,,96.44%,TRUE,96.44%,Premier
,Shopify Rebellion,96.27%,FALSE,#REF!,#REF!
,Shopify Rebellion GC,95.95%,FALSE,#REF!,#REF!
,ex-Soar,95.88%,FALSE,#REF!,#REF!
,the nation,95.69%,FALSE,#REF!,#REF!
,,95.60%,TRUE,95.60%,Premier
,Shopify Rebellion,95.53%,FALSE,#REF!,#REF!
,M80,95.39%,FALSE,#REF!,#REF!
,Evil Geniuses,95.20%,FALSE,#REF!,#REF!
,NRG Esports,95.14%,FALSE,#REF!,#REF!
,Shopify Rebellion,94.84%,FALSE,#REF!,#REF!
,M80,94.66%,FALSE,#REF!,#REF!
,,94.51%,TRUE,94.51%,Premier
,,94.22%,TRUE,94.22%,Premier
,Anime Aimers,94.13%,FALSE,#REF!,#REF!
,100 Thieves,94.13%,FALSE,#REF!,#REF!
,,94.11%,TRUE,94.11%,Premier
,Nearest Airport,94.01%,FALSE,#REF!,#REF!
,,93.82%,TRUE,93.82%,Premier
,M80,93.77%,FALSE,#REF!,#REF!
,The Guard,93.55%,FALSE,#REF!,#REF!
,,93.53%,TRUE,93.53%,Premier
,T1,93.52%,FALSE,#REF!,#REF!
,FaZe Clan,93.50%,FALSE,#REF!,#REF!
,NRG Esports,93.42%,FALSE,#REF!,#REF!
,Oxygen Academy,93.25%,FALSE,#REF!,#REF!
,The Guard,93.19%,FALSE,#REF!,#REF!
,Soniqs,93.04%,FALSE,#REF!,#REF!
,,93.02%,TRUE,93.02%,Premier
,100 Thieves,92.94%,FALSE,#REF!,#REF!
,,92.93%,TRUE,92.93%,Premier
